id,first_name,last_name,full_name,country,ranking,ranking_points
152754,Aleksandr,Nedovyesov,Aleksandr Nedovyesov,Kazakhstan,419,99
252924,Stefano,Napolitano,Stefano Napolitano,Italy,164,364
268266,Facundo,Arguello,Facundo Arguello,Argentina,493,75
912300,Mikael,Ymer,Mikael Ymer,Sweden,478,90
329742,Kimmer,Coppejans,Kimmer Coppejans,Belgium,417,110
87060,Nicolas,Mahut,Nicolas Mahut,France,495,65
1200966,Jurij,Rodionov,Jurij Rodionov,Austria,202,288
831288,Tommy,Paul,Tommy Paul,USA,12,3180
355956,Adam,Pavlasek,Adam Pavlasek,Czech Republic,494,76
252186,Mohamed,Safwat,Mohamed Safwat,Egypt,468,87
87450,Stéphane,Robert,Stéphane Robert,France,409,32
229662,Greef,De,Greef De,Belgium,500,69
94434,Donald,Young,Donald Young,USA,491,66
86022,Tommy,Robredo,Tommy Robredo,Spain,385,109
152742,Blaz,Rola,Blaz Rola,Slovenia,490,87
482958,Ernesto,Escobedo,Ernesto Escobedo,Mexico,458,90
416712,Matteo,Donati,Matteo Donati,Italy,468,64
230346,Ze,Zhang,Ze Zhang,China,480,78
313668,Mitchell,Krueger,Mitchell Krueger,USA,144,407
90552,Jo,Tsonga,Jo Tsonga,France,297,168
734220,Tallon,Griekspoor,Tallon Griekspoor,Netherlands,39,1320
1186866,Jay,Clarke,Jay Clarke,United Kingdom,250,223
343974,Joao,Domingues,Joao Domingues,Portugal,497,77
102240,John,Smith,John Smith,Australia,461,78
97704,Blaz,Kavcic,Blaz Kavcic,Slovenia,482,70
150156,Sergio,Gutiérrez-Ferrol,Sergio Gutiérrez-Ferrol,Spain,497,58
94446,Go,Soeda,Go Soeda,Japan,485,76
95760,Tobias,Kamke,Tobias Kamke,Germany,496,67
233460,Filip,Horansky,Filip Horansky,Slovakia,435,102
487638,Calvin,Hemery,Calvin Hemery,France,234,243
311028,Marcelo,Arevalo,Marcelo Arevalo,El Salvador,498,73
645762,Maxime,Janvier,Maxime Janvier,France,247,225
96888,Thomaz,Bellucci,Thomaz Bellucci,Brazil,457,79
417012,Gianluca,Mager,Gianluca Mager,Italy,226,251
90768,Andy,Murray,Andy Murray,United Kingdom,158,368
141996,Federico,Gaio,Federico Gaio,Italy,487,81
291768,Lorenzo,Giustino,Lorenzo Giustino,Italy,275,193
552456,Daniel,Galan,Daniel Galan,Colombia,112,519
600594,Gian,Moroni,Gian Moroni,Italy,393,119
355920,Viktor,Galovic,Viktor Galovic,Croatia,463,75
795360,Zdenek,Kolar,Zdenek Kolar,Czechia,417,111
219570,Kevin,Krawietz,Kevin Krawietz,,13,35
95598,Dustin,Brown,Dustin Brown,Germany,365,108
107922,Guilherme,Clezar,Guilherme Clezar,Brazil,484,72
944748,Fokina,Davidovich,Fokina Davidovich,Spain,61,860
585894,Soonwoo,Kwon,Soonwoo Kwon,South Korea,339,145
96414,Thiemo,de Bakker,Thiemo de Bakker,Netherlands,480,63
297972,Filip,Peliwo,Filip Peliwo,Poland,459,98
238278,James,Duckworth,James Duckworth,Australia,77,731
91812,Dudi,Sela,Dudi Sela,Israel,463,80
562182,Duckhee,Lee,Duckhee Lee,South Korea,423,95
312402,Christian,Harrison,Christian Harrison,USA,472,86
296166,Gleb,Sakharov,Gleb Sakharov,France,470,65
306876,Perez,Lopez,Perez Lopez,Spain,367,109
396528,Nicolas,Kicker,Nicolas Kicker,Argentina,372,129
95160,Gastao,Elias,Gastao Elias,Portugal,304,170
254286,Marcos,Giron,Marcos Giron,USA,49,1105
1171500,Nicola,Kuhn,Nicola Kuhn,Germany,345,142
102054,Uladzimir,Ignatik,Uladzimir Ignatik,Belarus,492,70
319110,Cem,Ilkel,Cem Ilkel,Türkiye,465,88
93192,Santiago,Giraldo,Santiago Giraldo,Colombia,434,94
446658,Enzo,Couacaud,Enzo Couacaud,France,208,277
307866,Subervi,Cid,Subervi Cid,Dominican Republic,426,105
248850,Schepper,De,Schepper De,France,490,82
300846,Norbert,Gombos,Norbert Gombos,Slovakia,430,101
146484,Gerald,Melzer,Gerald Melzer,Austria,491,87
535896,Jc,Aragone,Jc Aragone,USA,486,69
145866,Attila,Balazs,Attila Balazs,Hungary,356,119
540672,Nino,Serdarusic,Nino Serdarusic,Croatia,456,90
389532,Saketh,Myneni,Saketh Myneni,India,467,82
320910,Daniel,Masur,Daniel Masur,Germany,274,194
262488,Zhe,Li,Zhe Li,China,432,89
566922,Benjamin,Bonzi,Benjamin Bonzi,France,126,473
144030,Matteo,Viola,Matteo Viola,Italy,490,70
286746,Maverick,Banes,Maverick Banes,Australia,498,62
271584,Dennis,Novikov,Dennis Novikov,USA,398,37
381864,Thai,Kwiatkowski,Thai Kwiatkowski,USA,375,128
329430,Evgeny,Karlovskiy,Evgeny Karlovskiy,Russia,420,108
495486,Kaichi,Uchida,Kaichi Uchida,Japan,364,133
314346,Scott,Griekspoor,Scott Griekspoor,Netherlands,469,65
486546,Johan,Tatlot,Johan Tatlot,France,486,76
350238,Mathias,Bourgue,Mathias Bourgue,France,433,100
1160580,Fernandez,Hernandez,Fernandez Hernandez,Dominican Republic,500,69
428028,Martinez,Vilella,Martinez Vilella,Spain,387,107
472770,Lucas,Miedler,Lucas Miedler,Austria,462,90
651402,Miralles,Zapata,Miralles Zapata,Spain,283,187
443934,Pedro,Cachin,Pedro Cachin,Argentina,290,181
597534,Yunseong,Chung,Yunseong Chung,South Korea,494,82
814728,Elliot,Benchetrit,Elliot Benchetrit,Morocco,492,82
747960,Max,Purcell,Max Purcell,Australia,94,621
214938,Laurynas,Grigelis,Laurynas Grigelis,Lithuania,454,88
346566,Goncalo,Oliveira,Goncalo Oliveira,Venezuela,269,198
102108,Tsung,Yang,Tsung Yang,Chinese Taipei,494,72
327450,Federico,Coria,Federico Coria,Argentina,104,588
141600,Roberto,Marcora,Roberto Marcora,Italy,500,67
307122,Danilo,Petrovic,Danilo Petrovic,Serbia,428,89
283788,Olmedo,Ortega,Olmedo Ortega,Spain,487,71
651366,Carlos,Taberner,Carlos Taberner,Spain,195,298
633654,Jan,Choinski,Jan Choinski,United Kingdom,188,314
86562,Jurgen,Melzer,Jurgen Melzer,Austria,35,3
1262886,Jeffrey,Wolf,Jeffrey Wolf,USA,231,243
707208,Sasikumar,Mukund,Sasikumar Mukund,India,367,131
499590,Akira,Santillan,Akira Santillan,Australia,496,82
246288,Tomislav,Brkic,Tomislav Brkic,Bosnia & Herzegovina,106,40
484362,Collin,Altamirano,Collin Altamirano,USA,477,81
319290,Kevin,King,Kevin King,USA,488,68
347322,Alexander,Sarkissian,Alexander Sarkissian,USA,486,73
526860,Mikael,Torpegaard,Mikael Torpegaard,Denmark,491,68
251280,Ante,Pavic,Ante Pavic,,109,28
286596,Liam,Broady,Liam Broady,United Kingdom,497,78
271560,Loore,De,Loore De,Belgium,332,153
286614,Tristan,Lamasine,Tristan Lamasine,France,446,96
143406,Evan,King,Evan King,USA,477,76
826872,Ulises,Blanch,Ulises Blanch,USA,458,97
262578,Andrea,Collarini,Andrea Collarini,Argentina,206,282
92814,Aldin,Setkic,Aldin Setkic,Bosnia & Herzegovina,488,74
217800,Steven,Diez,Steven Diez,Canada,462,93
229680,Martin,Cuevas,Martin Cuevas,Uruguay,487,79
1165128,Yibing,Wu,Yibing Wu,China,410,113
99720,Victor,Estrella Burgos,Victor Estrella Burgos,Dominican Republic,412,31
431712,Sebastian,Fanselow,Sebastian Fanselow,Germany,409,114
334734,Renzo,Olivo,Renzo Olivo,Argentina,336,148
90600,Steve,Darcis,Steve Darcis,Belgium,455,81
1197978,Mate,Valkusz,Mate Valkusz,Hungary,477,85
338178,Jelle,Sels,Jelle Sels,Netherlands,292,179
101844,Herrera,Gomez,Herrera Gomez,Spain,496,68
98958,Vincent,Millot,Vincent Millot,France,339,72
308418,Evan,Song,Evan Song,USA,499,63
1219560,Pavel,Kotov,Pavel Kotov,Russia,73,745
305094,Denis,Yevseyev,Denis Yevseyev,Kazakhstan,220,256
138348,Di,Wu,Di Wu,China,368,126
364140,Vaclav,Safranek,Vaclav Safranek,Czech Republic,499,71
290796,Tak Khunn,Wang,Tak Khunn Wang,France,454,69
403836,Dragos,Dima,Dragos Dima,Romania,389,95
797016,Vera,Barrios,Vera Barrios,Chile,170,344
337782,Lara,Ojeda,Lara Ojeda,Spain,500,73
398916,Silva,Ferreira,Silva Ferreira,Portugal,394,118
277566,Maximilian,Neuchrist,Maximilian Neuchrist,Austria,473,90
88404,Frank,Dancevic,Frank Dancevic,Canada,406,33
157230,Emilio,Gomez,Emilio Gomez,Ecuador,500,80
749592,Roman,Safiullin,Roman Safiullin,Russia,59,888
1201578,Roy,Smith,Roy Smith,USA,317,127
306066,Dimitar,Kuzmanov,Dimitar Kuzmanov,Bulgaria,382,127
102288,Rubin,Statham,Rubin Statham,New Zealand,455,95
481278,Bradley,Mousley,Bradley Mousley,Australia,427,28
462054,Stefan,Kozlov,Stefan Kozlov,USA,340,145
97962,Alejandro,Gonzalez,Alejandro Gonzalez,Colombia,499,64
561594,Andrea,Pellegrino,Andrea Pellegrino,Italy,257,210
749508,Borna,Gojo,Borna Gojo,Croatia,448,95
91686,David,Guez,David Guez,France,472,15
226830,Purkiss,Boluda,Purkiss Boluda,Spain,498,61
934116,Renta,Tokuda,Renta Tokuda,Japan,475,74
269778,Miljan,Zekic,Miljan Zekic,Serbia,409,111
533964,Alexandre,Muller,Alexandre Muller,France,68,790
433500,Juan,Varillas,Juan Varillas,Peru,205,282
374940,Andrew,Harris,Andrew Harris,Australia,434,89
1065876,Yusuke,Takahashi,Yusuke Takahashi,Japan,472,89
205602,Dayne,Kelly,Dayne Kelly,Australia,469,87
789408,Sumit,Nagal,Sumit Nagal,India,84,697
313770,Tim,Puetz,Tim Puetz,Germany,469,16
870792,Alex,Molcan,Alex Molcan,Slovakia,411,113
144066,Sergey,Betov,Sergey Betov,Belarus,352,60
714852,Blake,Ellis,Blake Ellis,Australia,342,144
352290,Michael,Redlicki,Michael Redlicki,USA,468,77
297990,Antoine,Escoffier,Antoine Escoffier,France,223,255
888564,Zihao,Xia,Zihao Xia,China,499,57
444594,Jared,Hiltzik,Jared Hiltzik,USA,500,58
101478,Franko,Škugor,Franko Škugor,Croatia,392,39
1097814,Makoto,Ochi,Makoto Ochi,Japan,473,90
238284,Luke,Saville,Luke Saville,Australia,499,78
454890,Zhizhen,Zhang,Zhizhen Zhang,China,47,1145
870684,Marc,Huesler,Marc Huesler,Switzerland,148,396
607350,Ryan,Shane,Ryan Shane,USA,392,91
154110,Yan,Bai,Yan Bai,China,265,200
97200,Gonzalo,Escobar,Gonzalo Escobar,Ecuador,498,74
747948,Aleksandar,Vukic,Aleksandar Vukic,Australia,69,778
983988,Tung,Wu,Tung Wu,Chinese Taipei,228,251
252918,Ji,Nam,Ji Nam,South Korea,479,80
337746,Andrea,Basso,Andrea Basso,Italy,484,62
652614,Benjamin,Hassan,Benjamin Hassan,Lebanon,242,235
1234782,Zsombor,Piros,Zsombor Piros,Hungary,248,225
763260,Daniel,Altmaier,Daniel Altmaier,Germany,82,705
577446,Viktor,Durasovic,Viktor Durasovic,Norway,442,97
307812,Jan,Satral,Jan Satral,Czech Republic,497,69
644154,Hugo,Grenier,Hugo Grenier,France,154,379
89400,Harri,Heliovaara,Harri Heliovaara,Finland,139,37
639366,Sadio,Doumbia,Sadio Doumbia,France,498,74
393468,Pedro,Sakamoto,Pedro Sakamoto,Brazil,296,177
632262,Petros,Chrysochos,Petros Chrysochos,Cyprus,485,69
305418,Dmitry,Popko,Dmitry Popko,Kazakhstan,175,334
88950,Teimuraz,Gabashvili,Teimuraz Gabashvili,Russia,486,71
490074,Johannes,Haerteis,Johannes Haerteis,Germany,499,67
141288,Jeremy,Jahn,Jeremy Jahn,Germany,461,85
91638,Daniel,Muñoz de la Nava,Daniel Muñoz de la Nava,Spain,484,14
1272912,Alen,Avidzba,Alen Avidzba,Russia,461,80
306612,Batalla,Roca,Batalla Roca,Spain,213,266
894612,Khumoyun,Sultanov,Khumoyun Sultanov,Uzbekistan,232,243
458178,Arjun,Kadhe,Arjun Kadhe,India,231,32
1123428,Alexis,Galarneau,Alexis Galarneau,Canada,236,241
344226,Andrew,Whittington,Andrew Whittington,Australia,457,17
448422,Tom,Jomby,Tom Jomby,France,463,67
729648,Joao,Menezes,Joao Menezes,Brazil,498,68
326310,Alessandro,Bega,Alessandro Bega,Italy,497,66
97164,Illya,Marchenko,Illya Marchenko,Ukraine,496,79
312810,Julian,Lenz,Julian Lenz,Germany,499,71
98172,Brydan,Klein,Brydan Klein,United Kingdom,490,73
476586,Harry,Bourchier,Harry Bourchier,Australia,492,70
142554,Gerard,Granollers,Gerard Granollers,Spain,146,17
141300,Guillermo,Olaso,Guillermo Olaso,Spain,461,17
313728,Shuichi,Sekiguchi,Shuichi Sekiguchi,Japan,491,69
459102,Ivan,Gakhov,Ivan Gakhov,Russia,306,170
313476,N,Balaji,N Balaji,India,143,6
252996,Sekou,Bangoura,Sekou Bangoura,USA,499,69
96750,João,Souza,João Souza,Brazil,497,59
660666,Youssef,Hossam,Youssef Hossam,Egypt,467,67
1004232,Emil,Ruusuvuori,Emil Ruusuvuori,Finland,91,653
476826,Jacob,Grills,Jacob Grills,Australia,497,69
921876,João,Monteiro,João Monteiro,Portugal,478,61
1225998,Chien-Hsun,Lo,Chien-Hsun Lo,Chinese Taipei,411,30
149070,Alexander,Ward,Alexander Ward,United Kingdom,497,12
939996,Rigele,Te,Rigele Te,China,498,80
319860,Ivan,Nedelko,Ivan Nedelko,Russia,498,67
97170,Andreas,Haider-Maurer,Andreas Haider-Maurer,Austria,486,13
614478,Rijthoven,Van,Rijthoven Van,Netherlands,425,107
381648,Arthur,Rinderknech,Arthur Rinderknech,France,60,872
271548,Jordi,Samper-Montaña,Jordi Samper-Montaña,Spain,494,60
287814,Tobias,Simon,Tobias Simon,Germany,495,67
341946,Martinavarro,Artunedo,Martinavarro Artunedo,Spain,497,68
1025688,Zizou,Bergs,Zizou Bergs,Belgium,65,833
267834,Cristian,Rodriguez,Cristian Rodriguez,Colombia,468,75
486258,Hoang,Ly,Hoang Ly,Vietnam,464,92
96408,Igor,Sijsling,Igor Sijsling,Netherlands,494,68
261828,Markus,Eriksson,Markus Eriksson,Sweden,486,71
659718,Liam,Caruana,Liam Caruana,Italy,482,75
1127364,Evan,Furness,Evan Furness,France,444,95
758424,Corentin,Denolly,Corentin Denolly,France,305,170
354798,Lloyd,Glasspool,Lloyd Glasspool,United Kingdom,494,73
1066128,Cosano,Barranco,Cosano Barranco,Spain,211,271
1211094,Raul,Brancaccio,Raul Brancaccio,Italy,419,109
320898,Marvin,Netuschil,Marvin Netuschil,Germany,440,23
287808,Albano,Olivetti,Albano Olivetti,France,240,14
279738,Takanyi,Garanganga,Takanyi Garanganga,Zimbabwe,443,24
359916,Wishaya,Trongcharoenchaikul,Wishaya Trongcharoenchaikul,Thailand,490,12
636930,Valle,Dalla,Valle Dalla,Italy,276,193
629814,Gijs,Brouwer,Gijs Brouwer,Netherlands,172,339
313224,Hugo,Nys,Hugo Nys,Monaco,497,73
363024,Aslan,Karatsev,Aslan Karatsev,Russia,313,163
419724,Martin,Redlicki,Martin Redlicki,USA,200,61
328410,Riccardo,Bonadio,Riccardo Bonadio,Italy,485,82
93300,Máximo,Gonzalez,Máximo Gonzalez,Argentina,467,15
807672,William,Blumberg,William Blumberg,USA,455,20
95124,Lamine,Ouahab,Lamine Ouahab,Morocco,439,20
393660,Sidharth,Rawat,Sidharth Rawat,India,495,68
151146,Austin,Krajicek,Austin Krajicek,USA,487,12
403596,Fabrizio,Ornago,Fabrizio Ornago,Italy,498,69
1231890,Alafia,Ayeni,Alafia Ayeni,USA,474,86
1268028,Harrison,Adams,Harrison Adams,USA,461,89
329862,Hernan,Casanova,Hernan Casanova,Argentina,449,94
638106,Fabien,Reboul,Fabien Reboul,France,164,33
358188,Miliaan,Niesten,Miliaan Niesten,Netherlands,489,13
967584,Wild,Seyboth,Wild Seyboth,Brazil,75,732
748404,Edan,Leshem,Edan Leshem,Israel,452,97
359628,Bastian,Malla,Bastian Malla,Chile,498,65
1262952,Patrick,Kypson,Patrick Kypson,USA,169,350
312354,Karue,Sell,Karue Sell,Brazil,270,196
490590,Gregoire,Jacq,Gregoire Jacq,France,465,67
155046,Yannick,Mertens,Yannick Mertens,Belgium,483,75
574818,Andrea,Vavassori,Andrea Vavassori,Italy,252,219
581922,Ji Hoon,Son,Ji Hoon Son,South Korea,460,17
291876,Patricio,Heras,Patricio Heras,Argentina,456,17
296028,Yannick,Jankovits,Yannick Jankovits,France,478,14
1337742,Chauvinc,Cornut,Chauvinc Cornut,France,498,75
683886,Juan,Ficovich,Juan Ficovich,Argentina,174,338
1176744,Carabelli,Ugo,Carabelli Ugo,Argentina,106,581
1242216,Chun,Tseng,Chun Tseng,Chinese Taipei,115,509
1082688,Louis,Wessels,Louis Wessels,Germany,497,81
307056,Edoardo,Eremin,Edoardo Eremin,Italy,482,13
569562,Ronnie,Schneider,Ronnie Schneider,USA,473,16
1415592,Michael,Vrbensky,Michael Vrbensky,Czechia,319,162
433392,Altug,Celikbilek,Altug Celikbilek,Turkey,444,103
667182,Orlando,Luz,Orlando Luz,Brazil,482,83
326946,Juan Ignacio,Galarza,Juan Ignacio Galarza,Argentina,473,15
916332,Tom,Fawcett,Tom Fawcett,USA,476,15
97500,Konstantin,Kravchuk,Konstantin Kravchuk,Russia,500,72
227292,Alejandro,Gomez,Alejandro Gomez,Colombia,482,73
106404,Peter,Torebko,Peter Torebko,Germany,500,69
684450,Lopez,Pena,Lopez Pena,Argentina,491,76
298122,Riccardo,Bellotti,Riccardo Bellotti,Italy,480,14
784464,Manuel,Sánchez,Manuel Sánchez,Mexico,472,16
1123326,Lucas,Catarina,Lucas Catarina,Monaco,499,80
317526,Robin,Kern,Robin Kern,Germany,481,13
213474,Felipe,Mantilla,Felipe Mantilla,Colombia,483,13
306666,Alexander,Lazov,Alexander Lazov,Bulgaria,490,13
1192800,Colin,Sinclair,Colin Sinclair,Northern Mariana Islands,476,90
96096,Frederik,Nielsen,Frederik Nielsen,Denmark,481,13
1302828,Yuta,Shimizu,Yuta Shimizu,Japan,224,254
364416,Karim,Maamoun,Karim Maamoun,Egypt,477,75
1307016,Francesco,Forti,Francesco Forti,Italy,500,79
606954,Alex,Rybakov,Alex Rybakov,USA,487,81
1228596,Jacopo,Berrettini,Jacopo Berrettini,Italy,329,155
714912,Thomas,Fancutt,Thomas Fancutt,Australia,480,86
497598,Evan,Hoyt,Evan Hoyt,United Kingdom,487,76
221928,Pavel,Krainik,Pavel Krainik,Canada,489,12
578982,Riccardo,Balzerani,Riccardo Balzerani,Italy,485,71
420384,Pietro,Rondoni,Pietro Rondoni,Italy,490,59
1242312,Brandon,Holt,Brandon Holt,USA,194,298
95574,Marc,Sieber,Marc Sieber,Germany,492,11
137736,Ruan,Roelofse,Ruan Roelofse,South Africa,497,11
727044,Jules,Okala,Jules Okala,France,496,70
89814,Ti,Chen,Ti Chen,Chinese Taipei,492,11
1360842,Maxime,Cressy,Maxime Cressy,USA,227,251
458958,Daniel,Nguyen,Daniel Nguyen,USA,492,75
614046,De,Van,De Van,Netherlands,67,814
1198824,Alexandar,Lazarov,Alexandar Lazarov,Bulgaria,478,88
87324,Janko,Tipsarevic,Janko Tipsarevic,Serbia,470,74
857400,Baptiste,Crepatte,Baptiste Crepatte,France,461,78
1239432,Jannik,Sinner,Jannik Sinner,Italy,1,11420
446010,Matias,Descotte,Matias Descotte,Argentina,481,83
229092,Facundo,Mena,Facundo Mena,Argentina,199,292
727104,Manuel,Guinard,Manuel Guinard,France,260,204
273210,Gonzalo,Lama,Gonzalo Lama,Chile,496,79
851304,Geoffrey,Blancaneaux,Geoffrey Blancaneaux,France,249,223
665034,San,Lopez,San Lopez,Spain,484,84
1050432,Giovanni,Fonio,Giovanni Fonio,Italy,289,183
1566102,Lorenzo,Musetti,Lorenzo Musetti,Italy,16,2600
870744,Matteo,Martineau,Matteo Martineau,France,182,316
96528,Alexandr,Dolgopolov,Alexandr Dolgopolov,Ukraine,499,10
1164828,Kirill,Kivattsev,Kirill Kivattsev,Russia,488,88
1175052,Sebastian,Korda,Sebastian Korda,USA,23,2010
574986,Julian,Ocleppo,Julian Ocleppo,Italy,472,87
